"ensembl" "symbol" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"41" "ENSG00000204264.10" "PSMB8" 599.099336867687 1.4938474700706 0.334858060824959 4.46113635846288 8.15261927709052e-06 0.00223575878175068
"42" "ENSG00000166278.15" "C2" 79.3595800207368 1.40214200585675 0.323488242437478 4.33444503358648 1.4612829326653e-05 0.00391419926010207
"43" "ENSG00000089041.17" "P2RX7" 572.777325499249 1.13076213311938 0.262227257960666 4.31214566293867 1.61677857998314e-05 0.00423228538278314
"44" "ENSG00000096968.13" "JAK2" 76.7591491469536 1.38872152752244 0.323498096502675 4.29282750821675 1.76412056172685e-05 0.00451536458443775
"45" "ENSG00000115415.18" "STAT1" 840.150002688467 1.94079529455259 0.453326015026325 4.28123520429306 1.85858787799314e-05 0.00461271063045793
"46" "ENSG00000179583.19" "CIITA" 157.537889429628 1.72861135107002 0.404851839690382 4.26973816493462 1.95702575310225e-05 0.00469604638004827
"47" "ENSG00000204592.9" "HLA-E" 8115.67447055826 1.07644630913266 0.252868767715028 4.2569365875416 2.07247107310494e-05 0.00487157588163729
"48" "ENSG00000177409.12" "SAMD9L" 279.332178131885 1.55782620487171 0.375246869441652 4.15147022329507 3.30346250317672e-05 0.00760985622231789
"49" "ENSG00000239713.9" "APOBEC3G" 123.750372361285 1.32455222969829 0.325569322410309 4.0684184243532 4.73333264711604e-05 0.0106899069469574
"50" "ENSG00000140968.11" "IRF8" 537.969254706518 1.25122229868627 0.308209045782629 4.0596546915392 4.91453404866279e-05 0.0108856929177881
"51" "ENSG00000128604.20" "IRF5" 532.404176677128 1.11771398152657 0.27640700435215 4.043725245481 5.26085662648643e-05 0.0114329333252586
"52" "ENSG00000101017.13" "CD40" 664.215669566295 1.03204591749277 0.25626722449736 4.02722556314805 5.64388832361318e-05 0.0116362265119082
"53" "ENSG00000133561.15" "GIMAP6" 39.8481320586598 1.29320921947873 0.320987763717491 4.02884273375888 5.6052098075049e-05 0.0116362265119082
"54" "ENSG00000135899.17" "SP110" 200.300916891769 1.07866985759215 0.267882048669324 4.02665972934853 5.65748120044156e-05 0.0116362265119082
"55" "ENSG00000133106.14" "EPSTI1" 206.190260166775 1.55584587567738 0.388164169866284 4.00821610148444 6.11791262114713e-05 0.0123624767667321
"56" "ENSG00000168334.9" "XIRP1" 566.252670432128 2.17042547142891 0.544556637922721 3.98567443729686 6.72887216325072e-05 0.0131361270468342
"57" "ENSG00000204267.14" "TAP2" 61.4918480290679 1.43765156861596 0.364022332984985 3.94934991165847 7.83637281186568e-05 0.0147966134503392
"58" "ENSG00000164308.16" "ERAP2" 120.903689221818 1.00313226327886 0.259477973729151 3.86596306754711 0.000110651683197808 0.0199138451105054
"59" "ENSG00000141574.7" "SECTM1" 133.10789195494 2.5141880693206 0.657435462920448 3.82423555028827 0.00013117845886856 0.0228926286249709
"60" "ENSG00000173821.19" "AC124319.1" 487.715741340327 1.04127279484314 0.274573124668737 3.79233326677328 0.000149238448417144 0.025655648490577
"61" "ENSG00000226025.9" "AC005515.1" 68.8416714898024 2.77073396971805 0.738350489922189 3.75259989332444 0.000175010058722284 0.0296436155347539
"62" "ENSG00000156587.16" "UBE2L6" 841.762385527856 1.74733555585305 0.466896540873676 3.74244699389584 0.000182236981249411 0.0304203702903002
"63" "ENSG00000152229.18" "PSTPIP2" 320.384885133056 1.1095455875826 0.297449803008005 3.7301943936831 0.000191332092158737 0.031482329106919
"64" "ENSG00000188820.13" "CALHM6" 469.37555343157 2.30221668010642 0.618980629651488 3.71936789266357 0.000199721974062351 0.0323999675669036
"65" "ENSG00000121858.11" "TNFSF10" 125.147637756571 2.01478850910268 0.546686796420898 3.68545302775426 0.000228296186611731 0.0365210482971378
"66" "ENSG00000108700.5" "CCL8" 10853.5483494518 2.82742775472231 0.771239214944925 3.66608401120295 0.000246293042797718 0.0388603187252619
"67" "ENSG00000090339.9" "ICAM1" 4208.99305721195 1.11507589161975 0.310469855327325 3.59157538964336 0.000328685063848504 0.0498130863869352
